zmin zmax nz
0.0 0.05 0.1209
0.05 0.1 0.5877
0.1 0.15 0.6844
0.15 0.2 0.7736
0.2 0.25 2.2154
0.25 0.3 4.4137
0.3 0.35 10.3184
0.35 0.4 20.2472
0.4 0.45 23.0426
0.45 0.5 26.0476
0.5 0.55 32.0236
0.55 0.6 35.961
0.6 0.65 39.205
0.65 0.7 42.7303
0.7 0.75 44.3094
0.75 0.8 50.2518
0.8 0.85 53.5454
0.85 0.9 47.4648
0.9 0.95 37.2218
0.95 1.0 27.1466
1.0 1.05 17.5711
1.05 1.1 11.0366
1.1 1.15 6.6257
1.15 1.2 3.674
1.2 1.25 1.7753
1.25 1.3 1.0151
1.3 1.35 0.5017
1.35 1.4 0.2327
