zmin zmax nz
0.0 0.05 30.8288
0.05 0.1 79.0689
0.1 0.15 137.8293
0.15 0.2 143.7527
0.2 0.25 155.4332
0.25 0.3 166.6362
0.3 0.35 109.465
0.35 0.4 74.3893
0.4 0.45 50.4322
0.45 0.5 24.9624
0.5 0.55 12.2143
0.55 0.6 5.0773
0.6 0.65 1.7698
0.65 0.7 0.481
0.7 0.75 0.1756
0.75 0.8 0.1003
0.8 0.85 0.0422
0.85 0.9 0.0729
0.9 0.95 0.0517
